Noc_code,job_title,group_title,lead_statement,main_duties,Emp_req,Exclusion
5251,amateur athlete; archer; athlete; automobile racer; badminton player; baseball player; basketball player; billiard player; bowler; boxer; canoeist; chess player; chuckwagon driver; chuckwagon racer-stampede; competitor-chess; competitor-gambling; coxswain; curler; cyclist; demolition driver; discus thrower; diver-olympic sport; fencer; figure skater; football player; footballer; gamer-video games; golf player; golfer; gymnast; hammer thrower; handball player; harness race driver; harness racing driver; helmsman-sports; hockey player; javelin thrower; jockey; judoka; jumper; pentathlete; ping-pong player; poker player; prize fighter; professional athlete; professional boxer; professional pool player; professional sportsman/woman; race car driver; rider; rodeo performer; rower; sailboarder; short-distance runner; shot put; skater; skier; snowboarder; soccer player; sprinter; stampede performer; stampede racer; standardbred pacer; stock car racer; sulky driver; swimmer; table tennis player; tennis player; track athlete; volleyball player; water-polo player; weight-lifter; wrestler;  professional sportsman; professional sportswoman; professional sportsman; professional sportswoman;,Athletes;,"Athletes participate in competitive sports events on an amateur or professional basis. They play team sports such as hockey, baseball, football and lacrosse; or compete in individual sports such as skiing, figure skating, boxing or track and field; or in games such as poker or chess. Athletes are employed by professional team organizations or they may be self-employed.;","Athletes perform some or all of the following duties:;Train under the direction of a coach or trainer to qualify for competition;Attend scheduled practice and training sessions;Participate in local, regional, provincial, national or international competitions and sporting events;Assess performance after an event to identify strengths and weaknesses.;","Demonstrated ability in a particular sport, or type of game, is required.;Extensive training under the supervision of a coach is required.;Certification with a particular sports federation may be required.;A background combining athletic training and college or university studies is strongly recommended.;","Coaches (5252);Sports instructors  (in 5254 Program leaders and instructors in recreation, sport and fitness);Sports officials and referees (5253);"
5252,amateur athletics team coach; amateur sports team coach; amateur track and field team coach; athletic boxing trainer; athletics coach; athletics team coach; baseball coach; baseball manager-coach; baseball scout; baseball team coach; basketball scout; basketball team coach; bobsled coach; bobsleigh coach; boxing trainer; coach; cycling coach; figure skating coach; football coach; football scout; football team coach; gymnastics coach; head coach; hockey coach; hockey scout; hockey team coach; junior hockey coach; kickboxing trainer; lacrosse coach; lacrosse scout; lacrosse team coach; luge coach; luge instructor; national team coach; professional athletes team coach; professional sports scout; professional sports team coach; professional team coach; provincial team coach; ski coach; soccer coach; sports coach; sports scout; swim coach; swimming coach; tennis coach; track and field athletes coach; track and field coach; track and field team coach; volleyball coach; water-polo coach; ,Coaches;,"Coaches prepare and train individual athletes or teams for competitive events. They are employed by national and provincial sports organizations, professional and amateur sports teams, sports clubs and universities or they may be self-employed. This unit group also includes sports scouts who identify and recruit athletes for professional sports teams. They are employed by professional sports organizations.;","This group performs some or all of the following duties:;Coaches;Identify strengths and weaknesses of athletes or teams;Plan, develop and implement training and practice sessions;Nurture and develop athletes' potential skills and abilities;Develop, plan and co-ordinate competitive schedules and programs;Motivate and prepare athletes or teams for competitive events or games;Formulate competitive strategies, develop game plans and direct athletes and players during games or athletic events;Analyse and evaluate athletes' or teams' performances and modify training programs.;Sports scouts;Identify and recruit developing athletes for professional sports teams;Observe and evaluate prospective athletes' skills and performance, and review their past records;File reports on scouting assessments and recommendations with professional team employers.;",Coaches;Completion of the National Coaching Certificate program is usually required for individual and team sports coaches in all sports.;National Coaching Certificate Level 3 is usually required for provincial coaches.;National Coaching Certificate Level 4 is usually required for coaches of national team athletes.;A degree in physical education may be required.;Experience in and technical knowledge of the sport is required.;Sports scouts;Experience in and technical knowledge of the sport is required.;,"Athletes (5251);Athletic therapists (in 3144 Other professional occupations in therapy and assessment);Program leaders and instructors in recreation, sport and fitness (5254);Sports officials and referees (5253);"
5253,athletics judge; clerk of scales-racetrack; clerk of the course-harness racing; clerk of the course-horseback racing; clerk of the course-racetrack; commission steward-horse racing; competitive sports judge; curling judge; figure skating evaluator; figure skating judge; goal judge; harness racing starter; horse identifier; horse plating inspector-racetrack; horse race timer; horse racing starter; horseshoe inspector; paddock blacksmith-racetrack; paddock horseshoer-racetrack; paddock judge-racetrack; paddock plater-racetrack; patrol judge-racetrack; placing judge-racetrack; presiding steward-racetrack; racehorse judge-racetrack; racetrack clocker; racetrack steward; racetrack timer; racing secretary and handicapper; referee; scoreboard operator; scorekeeper; sports competition judge; sports judge; sports linesman/woman; sports official; sports referee; standardbred judge-racetrack; track and field judge; track judge; umpire;  sports linesman; sports lineswoman; sports linesman; sports lineswoman;,Sports officials and referees;,"Sports officials and referees observe and enforce rules and regulations governing sporting events, athletic games and sports competitions. They are employed by national, provincial and local sporting commissions, organizations and leagues.;","Sports officials and referees perform some or all of the following duties:;Officiate at sporting events or athletic competitions to maintain standards of play and to ensure that game rules and safety regulations are observed;Record lapsed time and keep scores during events or competitions;Judge the performance of competitors, award points, impose penalties for infractions and determine results;Compile scores and other athletic records;Establish and maintain rapport with coaches, players and organizing committees;Verify credentials of athletes or animals engaged in sports or related special events, and respond to written protests.;",Sports officials require certification by and registration with a sport governing body or commission.;Sports referees require completion of an officiating program offered by a sport governing body.;,"Coaches (5252);Program leaders and instructors in recreation, sport and fitness (5254);"
5254,activities leader-seniors; aerobics instructor; arts and crafts instructor; arts and crafts leader; arts and crafts leader-sports and recreation; arts and leisure leader; arts and recreation leader; athletics instructor; beach lifeguard; bowling instructor; bridge instructor; bridge teacher; callisthenics instructor; camp co-ordinator; camp counsellor; camp leader; certified fitness appraiser; certified personal trainer; chess instructor; cultural activities leader; day camp counsellor-recreation; day camp leader; dressage instructor; fencing instructor; fishing seminar leader; fitness appraiser; fitness instructor; fitness leader; fitness leader-aerobic fitness; fitness leader-aquatic fitness; fitness leader-fitness for older adults; fitness leader-strength and conditioning; fitness supervisor; golf instructor; gymnastics instructor; gymnastics teacher; horseback riding instructor; ice-skating instructor; inline skating instructor; judo instructor; jujitsu instructor; karate instructor; leisure program leader; life enrichment co-ordinator-recreation and fitness; lifeguard; martial arts instructor; personal trainer; physical training instructor; physical training leader; pilates instructor; playground leader; playground worker; pool co-ordinator-recreation; pool lifeguard; professional golf instructor; professional tennis instructor; recreation instructor; recreation leader; recreation program leader; recreation technician; riding instructor; riding master; roller-skating instructor; rollerblading instructor; search and rescue crew member-sports and recreation; skateboarding instructor; ski instructor; ski instructor-sports and recreation; ski patrol; ski patroller; snowboarding instructor; sports and leisure leader; sports and recreation leader; sports instructor; sports leader; swimming instructor-recreation; swimming instructor-sports; tai-chi instructor; tennis instructor-recreation; tennis instructor-sports; track and field instructor; vacation camp counsellor; vacation camp leader; weightlifting instructor; windsurfing instructor; yoga instructor; ,"Program leaders and instructors in recreation, sport and fitness;","Program leaders and instructors in recreation, sport and fitness lead and instruct groups and individuals in recreational, sports, fitness or athletic programs. They are employed by community centres, sports and fitness clubs, outdoor centres, resorts, recreational facilities, health care facilities, retirement homes, correctional institutions, government departments, private businesses, tourism associations and similar establishments.;","Program leaders and instructors in recreation, sport and fitness perform some or all of the following duties:;Plan and carry out recreational, athletic, fitness and sports activities;Assemble supplies and sports and game equipment;Demonstrate and instruct athletic, fitness or sports activities and techniques;Instruct groups and individuals in arts, crafts and similar activities and lead groups and individuals in recreational or leisure programs;Attend to clients with special needs;Provide lifestyle awareness information;Conduct therapeutic recreational or athletic activities;Monitor recreational, sports or fitness activities to ensure safety and provide emergency or first aid assistance when required;Enforce safety rules and regulations;Assist with co-ordination of special events;Schedule activities, keep logs, maintain records and prepare reports;May train and supervise staff;May maintain and repair sports equipment.;","Completion of secondary school is usually required.;Completion of a college program in recreation or physical education

orextensive experience in a specific recreational or sports program activity is usually required.;Certification is usually required in a specific area of recreational, sports or fitness activity, such as ski instructor or personal trainer, or in first aid or emergency care. ;Demonstrated ability in a particular recreational, sports or fitness discipline is required.;Fitness appraiser certification may be required for fitness appraisers.;","Other instructors (4216);Recreation and sports supervisors  (in 4167 Recreation, sports and fitness policy researchers, consultants and program officers);Recreation, sports and fitness program and service directors (0513);"
6211,bakery supervisor-supermarket; cage supervisor-casino; cashier supervisor-retail; chief canvasser-retail; customer service supervisor-retail; delicatessen supervisor-food store; delivery person supervisor; department store supervisor; department supervisor-retail; door-to-door sales supervisor; door-to-door salesperson supervisor-retail; food store supervisor; front end supervisor-retail; grocery clerk supervisor; head cashier; key holder-retail store; liquor store supervisor; meat department supervisor; newspaper delivery persons supervisor; newspaper sales supervisor; newspaper salesperson supervisor; night crew leader-retail store; price marker supervisor-retail; produce department supervisor; rental service supervisor; retail sales route supervisor; retail store department head; retail store supervisor; sales clerk supervisor; sales supervisor; sales supervisor-retail; stock clerks supervisor-retail; stock supervisor-retail; subscription sales team leader; supermarket department supervisor; supervisor-retail; telemarketer supervisor; telemarketing services supervisor; telemarketing supervisor; telephone sales clerk supervisor; ,Retail sales supervisors;,"Retail sales supervisors supervise and co-ordinate the activities of workers in the following unit groups: Retail salespersons  (6421), Cashiers (6611), Store shelf stockers, clerks and order fillers (6622) and Other sales related occupations (6623). They are employed by stores and other retail businesses, wholesale businesses that sell on a retail basis to the public, rental service establishments and businesses involved in door-to-door soliciting and telemarketing.;","Retail sales supervisors perform some or all of the following duties:;Supervise and co-ordinate sales staff and cashiers;Assign sales workers to duties and prepare work schedules;Authorize payments and the return of merchandise;Resolve issues that may arise, including customer requests, complaints and supply shortages;Maintain specified inventory and order merchandise;Prepare reports regarding sales volumes, merchandising and personnel matters;Hire and train or arrange for the training of new sales staff and monitor and report on performance;Ensure the visual standards and image of the store are maintained, such as store displays, signage and cleanliness;May perform the same duties as workers supervised;May perform key holding and managerial duties if required, such as opening and closing the store, managing escalated complaints, developing and implementing marketing strategies, and signing for deliveries.;","Completion of secondary school is usually required.;Previous retail sales experience as a retail salesperson or sales clerk, cashier, telemarketer, door-to-door salesperson or rental agent is usually required.;",Retail and wholesale trade managers (0621);Service supervisors (631);Supervisors of technical salespersons (in 6221 Technical sales specialists - wholesale trade);
6221,"EDP (electronic data-processing) hardware and services sales representative; X-ray equipment salesperson; agricultural equipment and supplies technical salesperson; aircraft sales representative; aircraft technical sales specialist; alternate heating energy consultant; alternative heating energy consultant-wholesale; applications sales engineer; assistant grain elevator manager; broadcasting equipment salesperson; chemicals sales representative; commercial and industrial equipment and supplies sales representative-technical wholesale; communication equipment sales representative; computer applications sales engineer; computer business agent; computer equipment sales specialist; computer software sales representative; computer system sales representative; construction equipment sales representative; construction material sales representative; country grain elevator agent; country grain elevator manager; country grain elevator operator; customer support representative-wholesale; dental equipment and supplies salesperson; diagnostic instrument sales representative; electrical equipment sales representative; electrical industrial equipment sales representative; electricity sales representative; electronic data-processing (EDP) hardware and services sales representative; electronic equipment salesperson-wholesale; engineering equipment salesperson; engineering supplies salesperson; export company technical sales specialist; farm equipment salesperson; farm machinery salesperson; forestry equipment sales representative; forestry machinery sales representative; grain elevator agent; grain elevator district manager; grain elevator manager; grain elevator operator; graphic arts equipment sales representative; heavy equipment sales representative; heavy equipment salesperson; heavy truck sales representative; heavy truck salesperson; hospital equipment sales representative; hospital equipment salesperson; hydro-electricity sales representative; import company technical sales specialist; industrial equipment sales engineer; industrial machinery sales representative; industrial supplies sales representative; industrial supplies salesperson; light, heat and power sales engineer; lighting, heating and power sales representative; lighting, heating and power sales specialist; logging equipment salesperson; lubricating equipment salesperson; machinery salesperson; manufacturer's sales representative; material-handling equipment salesperson; medical equipment and supplies salesperson; medical instruments sales agent; metal products salesperson; milking machine salesperson; mining equipment sales engineer; mining equipment sales representative; natural gas sales representative; office equipment salesperson-wholesale; oil refinery equipment sales representative; oil well services sales engineer; pharmaceutical sales representative; pharmaceutical salesperson; plumbing and heating services sales representative; primary grain elevator agent; primary grain elevator manager; primary grain elevator operator; printing machinery sales representative; printing management technician; printing supplies salesperson; railway equipment and supplies technical sales specialist; railway equipment and supplies technical salesperson; residential energy sales adviser; safety equipment salesperson; sales broker-wholesale; sales engineer; sales engineer-technical support; scientific instrument sales representative; software sales representative; solid fuel heating sales consultant; steel product sales representative; surgical supply salesperson; systems software support sales representative; technical business equipment salesperson-wholesale; technical office equipment sales representative; technical sales consultant; technical sales executive; technical sales representative; technical sales representative-wholesale; technical sales specialist; technical sales specialist-chemicals; technical sales specialist-exports; technical sales specialist-imports; technical sales specialist-metals; technical sales supervisor; technical salesperson-wholesale; technical salesperson supervisor; technical service sales consultant; technical support specialist-wholesale trade; telecommunications sales representative; telecommunications salesperson; textile machinery salesperson; topographical equipment salesperson; ultrasonic equipment salesperson; veterinary equipment and supplies salesperson; welding equipment salesperson; ",Technical sales specialists  wholesale trade;,"Technical sales specialists, wholesale trade, sell a range of technical goods and services, such as scientific, agricultural and industrial products, electricity, telecommunications services and computer services, to governments and to commercial and industrial establishments in domestic and international localities. They are employed by establishments that produce or provide technical goods and services, such as pharmaceutical companies, industrial equipment manufacturing companies, grain elevators, computer services firms, engineering firms and hydroelectric companies, or they may be self-employed technical sales specialists/agents who contract their services to other companies. Technical sales specialists who are supervisors are included in this unit group.;","Technical sales specialists perform some or all of the following duties:;Maintain and grow sales relationships with existing clients;Identify and solicit potential clients;Assess clients' needs, recommend or assist in the selection of appropriate goods or services, and negotiate prices or other sales terms;Provide input into product design where goods or services must be tailored to suit clients' needs;Develop sales presentations, proposals, or other materials to illustrate benefits from use of good or service;Estimate costs of installing and maintaining equipment or service;Prepare and administer sales contracts and maintain customer records;Consult with clients after sale to resolve problems and to provide ongoing support;Troubleshoot technical problems related to equipment;Develop and maintain technical product or service knowledge to explain features to clients and answer questions about goods or services;Develop, implement and report on marketing plans and sales strategies to achieve business goals;Assess market conditions and competitors' activities and develop an awareness of emerging markets and trends;A driver's licence and a good driving record may be required.;May supervise the activities of other technical staff and sales specialists.;May offer training in the operation and maintenance of equipment;Technical sales specialists usually specialize in a particular line of goods or services.;","A university degree or college diploma in a program related to the product or service is usually required.;Experience in sales or in a technical occupation related to the product or service may be required.;Fluency in a specific foreign language, and/or foreign work or travel experience may be required for technical sales specialists seeking employment with companies that import or export technical goods or services.;Technical sales supervisors require experience as a technical sales specialist.;A driver's licence and a good driving record may be required.;","Advertising, marketing and public relations managers (0124);Retail salespersons (6421);Sales and account representatives - wholesale trade (non-technical) (6411);"
6222,appliance buyer; assistant buyer; beverage taster and buyer; buyer-retail; buyer-wholesale; buyers supervisor; cattle buyer; chief buyer; chief buyer-retail or wholesale; clothing buyer; food buyer; fruit buyer; fur buyer; hardware buyer; hog buyer; livestock buyer; log buyer; lumber buyer; meat buyer; merchandiser; perishable food buyer; pharmaceuticals buyer; produce buyer; retail buyer; retail merchandiser; salvage buyer; scrap buyer; senior buyer-retail or wholesale; specialty food buyer; timber buyer; tobacco buyer; wholesale buyer; ,Retail and wholesale buyers;,Retail and wholesale buyers buy merchandise for resale by retail or wholesale establishments and are usually responsible for the merchandising operations of retail or wholesale establishments. Retail and wholesale buyers who are supervisors and those who are assistants are included in this unit group.;,"Retail and wholesale buyers perform some or all of the following duties:;Purchase merchandise for resale by retail or wholesale establishments;Review requirements of establishment and determine quantity and type of merchandise to purchase;Study market reports, trade periodicals and sales promotion materials and visit trade shows, showrooms, factories and product design events;Select the merchandise which best fits the establishment's requirements;Interview suppliers and negotiate prices, discounts, credit terms and transportation arrangements;Oversee distribution of merchandise to outlets and maintain adequate stock levels;Establish and maintain contact with suppliers;May supervise the work of other retail buyers.;Retail and wholesale buyers may specialize in a particular merchandise line.;","Completion of secondary school is required.;A university degree or college diploma in business, marketing or a related program is usually required.;Previous work experience in retail or wholesale establishments is usually required.;Supervisors and senior buyers require experience in the occupation supervised or in a particular merchandise line.;",Purchasing agents and officers (1225);
6231,automobile insurance agent; automobile insurance salesman/woman; district supervisor-insurance office; field agent-insurance; fire insurance agent; fire insurance salesman/woman; general insurance representative; group insurance representative; insurance agent; insurance agent supervisor; insurance broker; insurance sales agent; insurance sales representative; insurance sales supervisor; insurance salesman/woman; life insurance agent; life insurance representative; life insurance salesman/woman;  automobile insurance salesman; automobile insurance saleswoman; fire insurance salesman; fire insurance saleswoman; insurance salesman; insurance saleswoman; life insurance salesman; life insurance saleswoman; automobile insurance salesman; automobile insurance saleswoman; fire insurance salesman; fire insurance saleswoman; insurance salesman; insurance saleswoman; life insurance salesman; life insurance saleswoman;,Insurance agents and brokers;,"Insurance agents and brokers sell life, automobile, property, health and other types of insurance to individuals, businesses and public institutions. Insurance agents are employed by individual insurance companies or are independent representatives of specific insurance companies. Insurance brokers are employed by brokerage firms, or may work in partnerships or hold sole proprietorship. Supervisors of insurance agents are included in this unit group.;","Insurance agents and brokers perform some or all of the following duties:;Sell automobile, fire, health, life, property, marine, aircraft and other types of insurance to clients;Establish client insurance coverage, calculate premiums and establish method of payment;Provide information concerning group and individual insurance packages, the range of risk coverage, benefits paid and other policy features;Ensure appropriate forms, medical examinations and other policy requirements are completed;Monitor insurance claims and respond to clients' enquiries;Identify and solicit potential clientele.;",Completion of secondary school is usually required.;On-the-job training and insurance industry courses and training programs are provided and are required for employment.;Licensure by the insurance governing body in the province or territory of employment is required.;,"Insurance managers  (in 0121 Insurance, real estate and financial brokerage managers);Insurance underwriters (1313);Supervisors, finance and insurance office workers (1212);"
6232,associate broker-real estate; commercial real estate agent; commercial real estate salesperson; new home salesperson; real estate agency representative; real estate agent; real estate agent supervisor; real estate dealer; real estate sales consultant; real estate sales representative; real estate sales supervisor; real estate salesperson; realtor; residential real estate agent; residential real estate salesperson; ,Real estate agents and salespersons;,"Real estate agents and salespersons act as agents for the sale or purchase of houses, apartments, commercial buildings, land and other real estate and are employed in the real estate industry.;","Real estate agents and salespersons perform some or all of the following duties:;Solicit property sales listings from prospective vendors;Assist vendors in selling property by establishing asking price, advertising the property, listing the property with listing services and conducting open houses for prospective buyers;Assist prospective buyers in selecting, visiting, inspecting and making offers of purchase on real estate properties;Advise clients on market conditions, prices, mortgages, legal requirements and related matters;Draw up sales agreements for approval of purchaser and seller;May rent or lease properties on behalf of clients.;Real estate agents and salespersons may specialize in residential, commercial, industrial/institutional or rural real estate sales.;",Completion of secondary school is required.;Completion of a real estate training course is required.;Provincial or territorial licensure in the province or territory of employment is required.;,"Assessors, valuators and appraisers (1314);Insurance, real estate and financial brokerage managers (0121);Mortgage brokers  (in 1114 Other financial officers);Rental agents  (in 1224 Property administrators);Right-of-way agents  (in 1225 Purchasing agents and officers);"
6235,banking accounts officer; commercial banking accounts officer; consumer credit officer; consumer loans officer; credit analyst; credit investigation officer; credit investigator; credit officer; debt counsellor; financial sales and service officer; financial sales and service supervisor; financial services officer; financial services representative; lending services officer; lending services trainee; loan inspector; loan officer; loans adviser; loans agent; loans analyst; loans counsellor; loans supervisor; merchant services specialist-financial; mortgage consultant; mortgage loans consultant; mortgage loans officer; mortgage officer; personal banker; personal banking accounts officer; personal banking representative; personal financial services associate; personal financial services officer; personal loans officer; sales associate-personal banking; sales officer-financial; senior loans officer; student loans officer; ,Financial sales representatives;,"Financial sales representatives sell basic deposit, investment and loan products and services to individuals and businesses. They work in banks, credit unions, trust companies and similar financial institutions.;","Financial sales representatives perform some or all of the following duties:;Open new personal and non-personal accounts, and provide access to automated banking machine, telephone banking and online banking services;Interview applicants for personal, mortgage, student and business loans;Promote the sale of deposit, investment, credit and loan products and services;Assist clients by proposing solutions to address financial objectives such as business expansion, debt management, investment and other financial goals;Research and evaluate loan applicant's financial status, references, credit and ability to repay the loan;Complete credit and loan documentation;Submit credit and loan applications to branch or credit manager with recommendations for approval or rejection; or approve or reject applications within authorized limits ensuring that credit standards of the institution are respected;Prepare statements on delinquent accounts and forward irreconcilable accounts for collector action;Review and update credit and loan files;Act as joint custodian for cash and securities.;","Completion of secondary school and extensive general banking experience is usually required.;A bachelor's degree or college diploma related to commerce or economics may be required.;A mutual funds licence is usually required.;Registration with the securities regulatory authority in the province or territory of employment is usually required.;Completion of a loan or credit training program, ranging from six to twelve months, is usually required.;Various training programs and courses are offered by the Institute of Canadian Bankers and may be required by employers.;Financial services officers who sell regulated financial products and investments are required to be licensed by the appropriate governing body.;","Credit and loan managers (in 0122 Banking, credit and other investment managers);Customer services representatives - financial institutions (6551);Banking, insurance and other financial clerks (1434);Other financial officers (1114);"
6311,cafeteria supervisor; canteen supervisor; catering supervisor; food assembly supervisor; food concession supervisor; food service supervisor; hospital food service supervisor; kitchen manager; railway dining car food service supervisor; shift manager-fast food restaurant; swing manager-fast food restaurant; unit supervisor-food services; ,Food service supervisors;,"Food service supervisors supervise, direct and co-ordinate the activities of workers who prepare, portion and serve food. They are employed by hospitals and other health care establishments and by cafeterias, catering companies and other food service establishments.;","Food service supervisors perform some or all of the following duties:;Supervise, co-ordinate and schedule the activities of staff who prepare, portion and serve food;Estimate and order ingredients and supplies required for meal preparation;Prepare food order summaries for chef according to requests from dieticians, patients in hospitals or other customers;Establish work schedules and procedures;Maintain records of stock, repairs, sales and wastage;Train staff in job duties, and sanitation and safety procedures;Supervise and check assembly of regular and special diet trays and delivery of food trolleys to hospital patients;Ensure that food and service meet quality control standards;May participate in the selection of food service staff and assist in the development of policies, procedures and budgets;May plan cafeteria menus and determine related food and labour costs.;","Completion of secondary school is usually required.;Completion of a community college program in food service administration, hotel and restaurant management or related discipline 

orseveral years of experience in food preparation or service are required.;","Banquet captains  (in 6513 Food and beverage servers);Mątres d'h̫tel and hosts/hostesses (6511);Mobile canteen service supervisor (in 7305 Supervisors, motor transport and other ground transit operators);Restaurant and food service managers (0631);"
6312,assistant executive housekeeper; assistant housekeeping manager; executive housekeeper; hospital executive housekeeper; hotel executive housekeeper; housekeeping director; housekeeping manager; ,Executive housekeepers;,"Executive housekeepers direct and control the operations of housekeeping departments within hotels, hospitals and other establishments.;","Executive housekeepers perform some or all of the following duties:;Manage the operations of the housekeeping department;Plan and co-ordinate the activities of housekeeping supervisors and their crews;Conduct inspections to ensure that departmental standards and health and safety regulations are being met;Select and purchase equipment and supplies, and maintain inventory;Arrange for maintenance and repair of equipment and machinery;Hire, train and supervise housekeeping staff;Maintain financial records and prepare budgets, payroll and employee schedules.;","Completion of secondary school is usually required.;A university degree or college diploma in hospital management, hotel management or business administration is usually required.;Extensive experience as a cleaning supervisor may substitute for formal education requirements.;",Accommodation service managers (0632);Facility operation and maintenance managers (0714);Housekeeping supervisors  (in 6315 Cleaning supervisors);
6313,airline sales and service agents supervisor; assistant passenger service co-ordinator-railway; baggage handler supervisor; baggage porter supervisor; bell captain; casino dealer supervisor; casino pit boss; casino section head; casino shift manager; customer relations supervisor-casino; gaming tables supervisor; guest service supervisor-casino; head baggage porter; hotel clerk head; hotel clerk supervisor; hotel managing supervisor; lodging house managing supervisor; motel managing supervisor; night clerk supervisor-hotel; night supervisor-hotel; passenger service co-ordinator-railway; pit boss gaming; railway station clerk supervisor; reservations supervisor; reservations supervisor-airline; reservations supervisor-hotel; reservations supervisor-travel agency; slot machines section head; slot supervisor; tour guide supervisor; travel clerk supervisor; ,"Accommodation, travel, tourism and related services supervisors;","Supervisors in this unit group supervise and co-ordinate the activities of hotel accommodation service clerks, casino workers, reservation clerks and other travel and accommodations workers not elsewhere classified. They are employed by service establishments throughout the public and private sectors.;","Accommodation, travel, tourism and related services supervisors perform some or all of the following duties:;Co-ordinate, assign and review the work of hotel, motel and other accommodation services clerks, casino workers, reservation clerks and other travel and accommodations workers not elsewhere classified;Establish work schedules and procedures and co-ordinate activities with other work units or departments;Resolve work-related problems and prepare and submit progress and other reports;Hire and train staff in job duties, safety procedures and company policies;Requisition supplies and materials;Ensure smooth operation of computer systems, equipment and machinery, and arrange for maintenance and repair work;May perform the same duties as workers supervised.;",Completion of secondary school is usually required.;Completion of college courses related to the area supervised may be required.;Experience in the occupation supervised is usually required. ;Casino gaming licences are usually required for all casino employees.;,Accommodation service managers (0632);Food service supervisors (6311);
6314,accounts supervisor-financial services; call centre agent supervisor; call centre supervisor; contact centre supervisor; current accounts supervisor; customer accounts supervisor; customer service clerks supervisor; customer service representative supervisor; customer service representatives supervisor-financial services; information clerks supervisor; safety deposit box supervisor; savings accounts supervisor; savings and credit service supervisor; savings supervisor; tellers supervisor; ,Customer and information services supervisors;,"Supervisors in this unit group supervise and co-ordinate the activities of workers in the following unit groups: Customer Service Representatives  Financial Institutions (6551) and Other Customer and Information Services Representatives (6552). They are employed by banks, trust companies, credit unions and similar financial institutions, retail establishments, contact centres, insurance, telephone and utility companies and other establishments throughout the private and public sectors.;","Supervisors in this unit group perform some or all of the following duties:;Co-ordinate, assign and review the work of clerks engaged in the following duties: providing information and customer service; and serving customers in banks, trust companies and other financial institutions;Examine and verify accuracy of work and authorize routine deposits and withdrawals;Establish work schedules and procedures and co-ordinate activities with other work units or departments;Resolve work-related problems and prepare and submit progress and other reports;Identify training needs and train workers in job duties and company policies;Requisition supplies and materials;Ensure smooth operation of computer systems and equipment and arrange for maintenance and repair work;May perform the same duties as workers supervised.;",Experience in the occupation supervised is required.;Completion of college or industry courses related to financial or customer services may be required.;,"Banking, credit and other investment managers (0122);Other business services managers (0125);Retail and wholesale trade managers (0621);Retail sales supervisors (6211);Supervisors, finance and insurance office workers (1212);Supervisors of airline and railway customer service agents (in 6313 Accommodation, travel, tourism and related services supervisors);"
6315,building cleaning and maintenance supervisor; building cleaning supervisor; carpet cleaning supervisor; carwash supervisor; chambermaid supervisor; cleaner supervisor; cleaning and maintenance supervisor; cleaning supervisor; custodian supervisor-cleaning services; head caretaker; head cleaner; head cleaning man/woman; head custodian; head custodian-cleaning services; head janitor; housekeeping room attendant supervisor; housekeeping supervisor; industrial plant cleaning supervisor; janitor supervisor; window washer supervisor; window washing supervisor;  head cleaning man; head cleaning woman; head cleaning man; head cleaning woman;,Cleaning supervisors;,"Cleaning supervisors supervise and co-ordinate the activities of workers in the following unit groups: Light Duty Cleaners (6731), Specialized Cleaners (6732), and Janitors, Caretakers and Building Superintendents (6733). Cleaning supervisors are employed by hospitals and other health care institutions, hotels, motels, schools and other educational institutions, commercial and industrial establishments, home and office cleaning establishments and by various specialized cleaning companies.;","Cleaning supervisors perform some or all of the following duties:;Supervise and co-ordinate the work of light duty, industrial or specialized cleaners and janitors;Inspect sites or facilities to ensure established safety and cleanliness standards are met;Recommend or arrange for additional services required such as painting, repair work, renovations or replacement of furnishings and equipment;Hire and train cleaning staff;Prepare work schedule and co-ordinate activities with those of other departments;Prepare budget, estimate costs and keep financial records;Receive payment for specialized cleaning jobs;May perform certain cleaning duties.;",Completion of secondary school is usually required.;Previous experience in a particular area of cleaning is usually required.;Previous supervisory experience may be required.;,"Building maintenance supervisors  (in 7205 Contractors and supervisors, other construction trades, installers, repairers and servicers);Executive housekeepers (6312);Specialized cleaners (6732);"
