input,code,reference_category
OFFICE CLERK,1243,Clerk
INVOICING CLERK,1524,Clerk
PAYROLL CLERK,1432,Clerk
TIME ENTRY CLERK,1422,Clerk
RETAIL SALES CLERK,6421,Clerk
RECEPTION AND PAY CLERK,1414,Clerk
GENERAL CLERK,1411,Clerk
ACCOUNTING CLERK,1431,Clerk
SALES CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
MAIL ROOM CLERK,1511,Clerk
OFFICE CLERK,1411,Clerk
CLERK,1243,Clerk
SALES CLERK,6421,Clerk
CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
CLERK,1411,Clerk
UNIT CLERK,1243,Clerk
UNIT CLERK,1243,Clerk
UNIT CLERK,1243,Clerk
HOSPITAL UNIT CLERK,1243,Clerk
HOSPITAL UNIT CLERK,1243,Clerk
STORE CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
BAKERY SALES CLERK,6421,Clerk
TAX CLERK,1431,Clerk
RETAIL CLERK,6421,Clerk
FACILITY CLERK ACTING PURCHASING OFFICER,1225,Clerk
SALES CLERK-STOCK SHELVES,6622,Clerk
ACCOUNTING CLERK,1431,Clerk
ACCOUNTING CLERK,1431,Clerk
ACCOUNTING CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
UNIT CLERK,1243,Clerk
LAW CLERK,4211,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
RETAIL CLERK OWNER,621,Clerk
TANGIBLE ASSET CLERK,1431,Clerk
OFFICE ADMINISTRATIVE CLERK,1411,Clerk
TAX ASSESSMENT CLERK,1431,Clerk
PROPERTY TAX ASSESSMENT CLERK,1431,Clerk
MUNICIPAL PROPERTY TAX CLERK,1431,Clerk
CLERK II,1411,Clerk
ACCOUNTS PAYABLES CLERK,1431,Clerk
ELEMENTARY SCHOOL LIBRARY CLERK,1451,Clerk
ADMINISTRATION CLERK,1411,Clerk
OFFICE CLERK,1243,Clerk
FLORAL CLERK,6421,Clerk
FLORAL CLERK,6421,Clerk
CLERK,1243,Clerk
OFFICE CLERK,1411,Clerk
UNIT CLERK-EMERGENCY DEPARTMENT,1243,Clerk
LIBRARY CLERK,1451,Clerk
NURSING ATTENDANT & HOSPITAL UNIT CLERK,1243,Clerk
CONSULAR CLERK,6552,Clerk
OFFICE CLERK,1243,Clerk
OFFICE CLERK,1243,Clerk
RETAIL CLERK,6421,Clerk
ACCOUNTS RECEIVABLE CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
DELI CLERK,6421,Clerk
CLERK,1243,Clerk
OFFICE CLERK,1411,Clerk
MAIL ROOM CLERK,1511,Clerk
OFFICE CLERK,1411,Clerk
SALES CLERK,6421,Clerk
RETAIL CLERK,6421,Clerk
SALES CLERK,6421,Clerk
GENERAL CLERK,6622,Clerk
OFFICE CLERK,1411,Clerk
RETAIL CLERK,6421,Clerk
RECIEVING CLERK,1521,Clerk
GENERAL CLERK,6622,Clerk
GENERAL CLERK,6622,Clerk
GENERAL CLERK,6622,Clerk
ACCOUNT PAYABLE CLERK,1431,Clerk
DIAGNOSTIC IMAGING BOOKING CLERK,1243,Clerk
OFFICE CLERK,1411,Clerk
DIET CLERK,1243,Clerk
DIET CLERK,1243,Clerk
MEMBERSHIP DONATIONS CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
CLERK,1526,Clerk
OFFICE CLERK,1411,Clerk
LIBRARY CLERK,1451,Clerk
LIBRARY CLERK,1451,Clerk
CLERK IV,1411,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK-REGULATORY ASSOCIATE,1411,Clerk
ACCOUNTS RECEIVABLE CLERK,1431,Clerk
"sales clerk, team leader",6211,Clerk
STUDENT RECORDS CLERK,1411,Clerk
RETAIL CLERK,6421,Clerk
LAUNDRY CLERK,6741,Clerk
LAUNDRY CLERK,6741,Clerk
UNIT CLERK,1243,Clerk
ACCOUNTING CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
"OFFICE CLERK, ELECTRONIC INVOICING PROCESSER",1411,Clerk
OFFICE CLERK,1243,Clerk
CLERK IV,1411,Clerk
CLERK,1243,Clerk
CLERK DIAGNOSTIC IMAGING,1243,Clerk
ACCOUNTING CLERK,1431,Clerk
CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
ADMINISTRATIVE CLERK,1411,Clerk
OFFICE CLERK,1243,Clerk
UNIT CLERK,1243,Clerk
UNIT CLERK,1243,Clerk
UNIT CLERK,1243,Clerk
judicial clerk,1416,Clerk
JUDICIAL CLERK,1416,Clerk
SENIOR JUDICIAL CLERK,1416,Clerk
OFFICE CLERK,1243,Clerk
"SANDWICHES, CLERK",6711,Clerk
ADMINISTRATIVE RESOURCES DATA CLERK,1422,Clerk
ACCOUNT PAYABLE CLERK,1431,Clerk
CANCER CLINIC CLERK,1243,Clerk
OFFICE CLERK,1411,Clerk
CLERK POSTAL WORKER,1511,Clerk
"REGISTRATION OFFICER, ACCOUNTING CLERK",1431,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
ADMITTING CLERK,1414,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
CLERK,1411,Clerk
POST OFFICE CLERK,1511,Clerk
STORE CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
CUSTOMER SERVICE (SALES CLERK),6421,Clerk
BOOKING CLERK,1414,Clerk
CLERK,6622,Clerk
HOSPITAL UNIT CLERK,1243,Clerk
TAX AND UTILITY CLERK,1431,Clerk
GROCERY - CLERK - STOCKING,6622,Clerk
"BOOKKEEPER, OFFICE CLERK",1311,Clerk
CLERK IN BUTCHER SHOP,6421,Clerk
OFFICE CLERK,1411,Clerk
GENERAL ACCOUNTING CLERK,1431,Clerk
GROCERY CLERK,6622,Clerk
GROCERY CLERK,6421,Clerk
CLERK GIFT SHOP,6421,Clerk
SERVICE REQUEST EXAMINATOR CLERK,999,Clerk
"DATA ENTRY, RECORDS CLERK",1422,Clerk
CASHIER CLERK,6611,Clerk
CLERK,999,Clerk
CLERK SUPERVISOR,6211,Clerk
COMPETION & DEPLOYMENT CLERK,1525,Clerk
PAYROLL CLERK,1432,Clerk
UNIT CLERK,1243,Clerk
OFFICE CLERK,1411,Clerk
CLERK TYPIST,1411,Clerk
GROCERY CLERK,6421,Clerk
CLERK,6421,Clerk
GROCERY CLERK,6622,Clerk
MANAGER OWNER CLERK,621,Clerk
DATA ENTRY CLERK,1422,Clerk
DATA ENTRY CLERK,1422,Clerk
SALES CLERK,6421,Clerk
"ACCOUNTS PAYABLE ,  PURCHASING CLERK",1431,Clerk
ACCOUNTING CLERK,1431,Clerk
ACCOUNTING CLERK,1431,Clerk
SALES CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
SALES CLERK,6421,Clerk
SALES CLERK,6421,Clerk
STORE CLERK,6421,Clerk
STOCK CLERK,6622,Clerk
CIRCULATION CLERK,1451,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
SALES CLERK,6421,Clerk
ADMINISTRATION CLERK,1411,Clerk
ADMINISTRATION CLERK,1411,Clerk
ADMINISTRATION CLERK,1411,Clerk
STORE CLERK,6421,Clerk
FRONT DESK CLERK,6525,Clerk
FRONT DESK CLERK,1414,Clerk
OFFICE CLERK,1411,Clerk
PRODUCE CLERK,6421,Clerk
MUNICIPAL CLERK,1411,Clerk
DELI CLERK,6421,Clerk
DELI CLERK,6421,Clerk
DELI CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
BILLING CLERK,1431,Clerk
utility billing clerk,1431,Clerk
SALES CLERK,6421,Clerk
ACCOUNTING CLERK,1431,Clerk
SALES CLERK,6421,Clerk
UNIT CLERK,1243,Clerk
MAILROOM CLERK,1511,Clerk
ACCOUNTING SENIOR CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
NURSING CLERK,1243,Clerk
UNIT CLERK,1243,Clerk
DELI CLERK,6421,Clerk
sales clerk,6421,Clerk
CASHIER AND OFFICE CLERK,6611,Clerk
OFFICE CLERK,1243,Clerk
"OFFICE CLERK, ADMINISTRATION",1411,Clerk
LIBRARY REFERENCE CLERK,1451,Clerk
LIBRARY CIRCULATION CLERK,1451,Clerk
OFFICE CLERK DOING DEBT COLLECTION,1435,Clerk
POST OFFICE CLERK,1511,Clerk
CASHIER CLERK,6611,Clerk
REGISTRATION CLERK,1414,Clerk
CLERK,6421,Clerk
SALES CLERK,6421,Clerk
STORE SALES CLERK,6421,Clerk
SALES CLERK,6421,Clerk
SALES CLERK,6421,Clerk
CLERK,6421,Clerk
OFFICE CLERK-PAYROLL,1432,Clerk
WICKET CLERK,1511,Clerk
RETAIL CLERK,6421,Clerk
UNIT CLERK HOSPITAL,1243,Clerk
SALES CLERK,6421,Clerk
"CLERK ,  RECEPTIONIST",1451,Clerk
REGISTRIES CLERK,1452,Clerk
OFFICE CLERK,1411,Clerk
DATA ENTRY CLERK,1422,Clerk
PARTS SALES CLERK,1522,Clerk
OFFICE CLERK,1411,Clerk
CLERK,1411,Clerk
CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
CLERK,6552,Clerk
CLERK,1243,Clerk
CLERK II,1243,Clerk
"OFFICE CLERK,  GROCERY CLERK, OWNER",621,Clerk
CLERK TYPIST,1411,Clerk
"HOSPITAL UNIT CLERK, MEDICAL CLERK",1243,Clerk
MEDICAL OFFICE CLERK,1243,Clerk
MEDICAL CLERK,1243,Clerk
RETAIL CLERK,6421,Clerk
PAYROLL CLERK,1432,Clerk
CLERK,6421,Clerk
MEDICAL CLERK,1243,Clerk
OFFICE CLERK,1411,Clerk
ACCOUNTING CLERK,1431,Clerk
"TICKET OFFICE ASSOCIATE,  OFFICE CLERK",6611,Clerk
POLICE INVESTIGATION SUPPORT CLERK,1411,Clerk
RECORDS CLERK,1253,Clerk
ORDER DESK CLERK,1524,Clerk
LIBRARY CLERK,1451,Clerk
PARALEGAL OFFICE CLERK,4211,Clerk
VAULT CLERK,1431,Clerk
OFFICE CLERK,1243,Clerk
ACCOUNTING CLERK,1431,Clerk
ACCOUNTS PAYABLE CLERK,1431,Clerk
ACCOUNTING CLERK,1431,Clerk
PRODUCE CLERK,6421,Clerk
BANK CLERK,6551,Clerk
OFFICE CLERK,1411,Clerk
"OFFICE CLERK, SECRETARY",1241,Clerk
ACCOUNTS RECEIVABLE CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
SALES CLERK,6421,Clerk
SALES CLERK,6421,Clerk
"CASHIER, CLERK",6611,Clerk
CASUAL STAFF LIBRARY CLERK,1451,Clerk
POSTAL CLERK,1511,Clerk
REGISTRATION CLERK IN A CAMPGROUND,6552,Clerk
GROCERY CLERK,6421,Clerk
GROCERY CLERK,6421,Clerk
"INSIDE SALES, OFFICE CLERK",6623,Clerk
OFFICE CLERK,1243,Clerk
SALES CLERK,6421,Clerk
CLERK,1243,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
RETAIL CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
DATA ENTRY CLERK,1422,Clerk
SALES CLERK,6421,Clerk
SALES CLERK,6421,Clerk
ENGINEERING CLERK,2253,Clerk
ENGINEERING CLERK,2253,Clerk
OFFICE CLERK,1411,Clerk
CLERK,1243,Clerk
REGISTRY CLERK,1452,Clerk
SENIOR ACCOUNTS CLERK,1431,Clerk
CLERK TYPIST,1411,Clerk
POSTAL CLERK,1511,Clerk
FILE MAINTENANCE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
REGISTRATION CLERK,1414,Clerk
POSTAL RETAIL CLERK,1511,Clerk
POSTAL CLERK,1511,Clerk
CLERK I,1411,Clerk
"OFFICE CLERK, ACCOUNTING",1431,Clerk
SEAMSTRESS  CLERK,6342,Clerk
SEAMSTRESS - CLERK,6342,Clerk
GROCERY CLERK - NIGHT STOCKING,6622,Clerk
GROCERY CLERK,6421,Clerk
SALES CLERK,6421,Clerk
CLERK,6421,Clerk
STAFFING CLERK,1415,Clerk
STAFFING CLERK,1415,Clerk
OFFICE CLERK,1411,Clerk
APPAREL CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
CLERK II - CIRCULATION,1451,Clerk
"HEALTH INFORMATION,  CHART MANAGEMENT, CLERK III",1411,Clerk
CLERK DATA ENTRY,1422,Clerk
ADMITTING CLERK,1414,Clerk
OFFICE CLERK,1411,Clerk
"OFFICE CLERK, PROCUREMENT DEPARTMENT",1411,Clerk
LIBRARY CLERK,1451,Clerk
CLERK,1411,Clerk
CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
"BRANCH SUPPORT CLERK, SUPERVISOR",6314,Clerk
DIAGNOSTIC IMAGING CLERK IV,1243,Clerk
CLERK TYPIST,1411,Clerk
CLERK TYPIST,1411,Clerk
ACCOUNTING CLERK,1431,Clerk
FACILITIES MAINTENANCE CLERK,6733,Clerk
OFFICE CLERK,1411,Clerk
ACCOUNTS CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
CLERK,1243,Clerk
"OFFICE CLERK,  BOOK KEEPING",1431,Clerk
UNIT CLERK,1243,Clerk
REGISTRATION CLERK,1414,Clerk
OFFICE CLERK,1411,Clerk
UNIT CLERK,1243,Clerk
FINANCE CLERK,1431,Clerk
FINANCE CLERK,1431,Clerk
FRONT DESK CLERK,6525,Clerk
ADMITTING CLERK,1414,Clerk
OFFICE CLERK,1243,Clerk
ACCOUNTING CLERK,1431,Clerk
CLERK,1411,Clerk
PROJECT COSTING CLERK,1431,Clerk
LEGAL CLERK,4211,Clerk
OFFICE CLERK,1411,Clerk
CONFERENCE SERVICES CLERK,1226,Clerk
CLERK 2,999,Clerk
CLERK-STOCK SHELVES,6622,Clerk
OFFICE CLERK,1411,Clerk
POSTAL CLERK,1511,Clerk
POSTAL CLERK,1511,Clerk
POSTAL CLERK,1511,Clerk
ACCOUNTING CLERK,1431,Clerk
LAW CLERK,4211,Clerk
LAW CLERK,4211,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
DETACHMENT CLERK (PUBLIC SERVANT),1525,Clerk
operations clerk,1411,Clerk
CLERK CASHIER,6611,Clerk
CLERK,6421,Clerk
BOOKSTORE CLERK,6421,Clerk
BOOKSTORE CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
JUDICIAL CLERK,1416,Clerk
(unit) clerk medical,1243,Clerk
CLERK OFFICE,1411,Clerk
SELF-EMPLOYED  STORE CLERK,1522,Clerk
STORE CLERK AND SEAMSTRESS,6342,Clerk
ACCOUNTS PAYABLE CLERK,1431,Clerk
CLERK,1243,Clerk
HOSPITAL CLERK,1243,Clerk
"RETAIL CLERK, COSMETICS MANAGER",621,Clerk
CLERK COSMETIC MANAGER,621,Clerk
CASHIER AND CUSTOMER SERVICE CLERK,6421,Clerk
FILE CLERK,1411,Clerk
CLERK,6421,Clerk
SALES CLERK,6421,Clerk
LIBRARY CIRCULATION CLERK,1451,Clerk
SALES CLERK,6421,Clerk
POSTAL CLERK,1511,Clerk
PAYROLL CLERK,1432,Clerk
"ADMINISTRATIVE ASSISTANT, OFFICE CLERK",1241,Clerk
OFFICE CLERK,1243,Clerk
TAX AND PAYROLL CLERK,1431,Clerk
TAX ASSESSMENT CLERK,1431,Clerk
TAX ASSESSMENT CLERK,1431,Clerk
FLEET MAINTENANCE CLERK,1526,Clerk
FLEET MAINTENANCE CLERK,1526,Clerk
OFFICE CLERK,1411,Clerk
HEALTH INFORMATION MANAGEMENT CLERK,1411,Clerk
GROCERY FLOOR CLERK AND RECEIVER,1521,Clerk
"STORE CLERK, MERCHANDISING",6421,Clerk
POSTAL CLERK,1511,Clerk
"PURCHASING TECHNICIAN, OFFICE CLERK",1524,Clerk
SERVICE CLERK,6421,Clerk
CLERK,6622,Clerk
OFFICE CLERK,1434,Clerk
CLERK,1243,Clerk
CLERK,1432,Clerk
CLERK III,1243,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
PAYROLL CLERK,1432,Clerk
OFFICE CLERK,1411,Clerk
ACCOUNTS PAYABLE CLERK,1431,Clerk
SHIPPING CLERK,1521,Clerk
SAFETY CODES OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
DELI CLERK,6421,Clerk
DELI CLERK,6421,Clerk
MEDICAL UNIT CLERK,1243,Clerk
OFFICE CLERK,1411,Clerk
ACCOUNTS RECEIVABLE CLERK,1431,Clerk
RETAIL SALES CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
ACCOUNTING CLERK II,1431,Clerk
OTC clerk,1524,Clerk
TECHNICAL SUPPORT CLERK,2282,Clerk
OFFICE CLERK,1411,Clerk
election clerk,1414,Clerk
"CLERK,  SECRETARY",1411,Clerk
JUDICIAL CLERK,1416,Clerk
DEPUTY CLERK (JUSTICE),1416,Clerk
INVENTORY CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
STORE CLERK,6421,Clerk
RETAIL SALES CLERK,6421,Clerk
CLERK,1243,Clerk
ENVIRONMENT BRANCH CLERK,1411,Clerk
DIVISION CLERK,1411,Clerk
CLERK,6421,Clerk
CLERK,6421,Clerk
CLERK,6421,Clerk
POSTAL CLERK,1511,Clerk
INVENTORY MANAGEMENT CLERK,1524,Clerk
ACCOUNTING CLERK,1431,Clerk
CLERK III,1243,Clerk
JUDICIAL CLERK,1416,Clerk
OFFICE CLERK,1411,Clerk
STORE CLERK,6421,Clerk
SALES CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
SUPPORT CLERK,1414,Clerk
ELECTRONIC FILE CLERK,1411,Clerk
PERSONAL SUPPORT AIDE AND CLERK,3413,Clerk
GROCERY CLERK,6421,Clerk
GROCERY UTILITY CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
PAYROLL CLERK,1432,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
DATA ENTRY CLERK,1422,Clerk
"BILLING CLERK,  BOOKKEEPER",1431,Clerk
SALES CLERK,6421,Clerk
STAFFING CLERK III INFORMATION,1415,Clerk
LIBRARY CLERK,1451,Clerk
SCHEDULING CLERK,1243,Clerk
AUTOMOTIVE PARTS CLERK,1522,Clerk
ACCOUNTS RECEIVABLE CLERK,1431,Clerk
COMPREHENSIVE CARE CLERK,1243,Clerk
CLERK II  ADMITTING,1414,Clerk
ADMITTING CLERK,1414,Clerk
TOOL RENTAL CLERK,6421,Clerk
MEDICAL UNIT CLERK,1243,Clerk
LIBRARY CLERK,1451,Clerk
MEDICAL OFFICE CLERK,1243,Clerk
RETAIL STORE CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
INVENTORY CLERK,1524,Clerk
COMMITTEE  COUNCIL CLERK,1242,Clerk
POSTAL CLERK,1511,Clerk
CIRCULATION CLERK,1451,Clerk
CLERK II,1451,Clerk
TREASURER AND BILLING CLERK,111,Clerk
BILLING CLERK,1431,Clerk
SALES CLERK,6421,Clerk
POSTAL CLERK,1511,Clerk
CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
POSTAL CLERK,1511,Clerk
UNIT CLERK,1243,Clerk
UNIT CLERK,1243,Clerk
RECEIVING CLERK,1521,Clerk
"PRICING, DISPLAY CLERK",6622,Clerk
SALES CLERK,6421,Clerk
SALES CLERK,6421,Clerk
RETAIL CLERK,6421,Clerk
"OFFICE MANAGER, STOCK CLERK",114,Clerk
"STOCK CLERK, OFFICE MANAGER",114,Clerk
STOCK CLERK ASSISTANT MANAGER,114,Clerk
PREVERIFICATION CLERK,1422,Clerk
JUDICIAL CLERK,1416,Clerk
HUMAN RESOURCE CLERK,1415,Clerk
OFFICE SERVICE CLERK,1411,Clerk
FINANCIAL CLERK,1434,Clerk
PRODUCE CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
CLERK,1243,Clerk
IMAGING CLERK,1243,Clerk
POSTAL CLERK,1511,Clerk
POSTAL CLERK,1511,Clerk
POSTAL CLERK,1511,Clerk
PURCHASING CLERK,1524,Clerk
CLERK 3,1243,Clerk
ACCOUNTING PAY CLERK,1431,Clerk
ACCOUNTS PAYABLE CLERK,1431,Clerk
"STORE MANAGER, CLERK",621,Clerk
GIFT STORE MANAGER CLERK,621,Clerk
WORD DATA CLERK II,1411,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
FILE MAINTENANCE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
STORE (SALES) CLERK,6421,Clerk
STORE CLERK,6421,Clerk
STORE CLERK,6421,Clerk
order entry clerk,1523,Clerk
"SHIPPING, RECEIVING CLERK FOR COURIER COMPANY",1521,Clerk
LIBRARY CLERK III,1451,Clerk
LIBRARY CLERK III,1451,Clerk
CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
data entry clerk,1422,Clerk
OFFICE CLERK,1411,Clerk
PRODUCTION CLERK,1523,Clerk
PRODUCTION CLERK,1523,Clerk
LIBRARY CLERK INTERLIBRARY LOANS,1451,Clerk
LABORATORY DIAGNOSTIC IMAGING CLERK,3212,Clerk
ADMINISTRATION CLERK,1243,Clerk
ACCOUNTING CLERK,1431,Clerk
ACCOUNTS PAYABLE CLERK,1431,Clerk
ACCOUNTS PAYABLE CLERK,1431,Clerk
GENERAL CLERK IN GROCERY STORE,6421,Clerk
"GENERAL CLERK,  DEPARTMENT MANAGER",621,Clerk
"OFFICE CLERK, BUSINESS DEVELOPMENT",4163,Clerk
CLERK TYPIST,1411,Clerk
OFFICE CLERK,1411,Clerk
FINANCE CLERK,1431,Clerk
PAYROLL CLERK,1432,Clerk
SENIOR JUDICIAL CLERK,1416,Clerk
SALES CLERK,6421,Clerk
MEDICAL FINANCE CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
VOLUNTEER RESOURCES ASSISTANT - OFFICE CLERK,1411,Clerk
AUDIT CLERK,1431,Clerk
LIBRARY CLERK,1451,Clerk
RENAL CLINIC UNIT CLERK,1243,Clerk
INVENTORY CLERK,1524,Clerk
SALES CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
ADMINISTRATION CLERK,1411,Clerk
FLORAL CLERK,6421,Clerk
CLERK,1243,Clerk
SALES CLERK,6421,Clerk
UNIT CLERK,1243,Clerk
CLERK III,1243,Clerk
CLERK IV,1243,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
CUSTOMER SERVICE CLERK,6552,Clerk
ACCOUNTS PAYABLE CLERK,1431,Clerk
"OFFICE CLERK,  SHOP, INVENTORY",1411,Clerk
ASSOCIATE SALES CLERK,6421,Clerk
SALES CLERK,6421,Clerk
"LAND ADMINISTRATOR, OFFICE CLERK",1225,Clerk
CLERK,1243,Clerk
OFFICE CLERK,1411,Clerk
FILE CLERK,1411,Clerk
FILE CLERK,1411,Clerk
CLERK,1411,Clerk
"SECRETARY, UNIT CLERK",1243,Clerk
SEAFOOD CLERK,6421,Clerk
CLERK,6421,Clerk
STORE CLERK,6421,Clerk
CREDIT CLERK,1434,Clerk
OFFICE CLERK,1411,Clerk
ACCOUNTS RECEIVABLE CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
CLERK III,1243,Clerk
CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
CLERK,6421,Clerk
OFFICE CLERK RECEPTIONIST,1414,Clerk
ACCOUNTS RECEIVABLE CLERK,1431,Clerk
SALES CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
produce clerk,6421,Clerk
PRODUCE CLERK,6421,Clerk
PRODUCE CLERK,6421,Clerk
PAYABLE CLERK,1431,Clerk
OFFICE CLERK,1243,Clerk
CLERK,1243,Clerk
CLERK III,1414,Clerk
GROCERY CLERK,6421,Clerk
"CASHIER, LUNCH COUNTER CLERK",6711,Clerk
DELI CLERK,6421,Clerk
SALES CLERK,6421,Clerk
"CASHIER, CLERK",6611,Clerk
SALES CLERK,6421,Clerk
CLERK TYPIST,1411,Clerk
ACCOUNTING CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
UNIT CLERK,1243,Clerk
POSTAL CLERK,1511,Clerk
"LIQUOR STORE CLERK, MANAGER",621,Clerk
CUSTOMER SERVICE CLERK,6552,Clerk
CUSTOMER SERVICE CLERK,6552,Clerk
MEAT CLERK,6421,Clerk
CLERK TYPIST,1411,Clerk
STORE CLERK,6421,Clerk
CLERK,1243,Clerk
OFFICE CLERK,1411,Clerk
"SALES CLERK, SUPERVISOR/FAMILY OWNED",6211,Clerk
OFFICE CLERK,1411,Clerk
HOSPITAL ADMISSIONS CLERK,1414,Clerk
ACCOUNTS RECEIVABLE CLERK,1431,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
"TEXTBOOK RENTAL CLERK, HIGH SCHOOL",6421,Clerk
POSTAL CLERK,1511,Clerk
OFFICE CLERK,1411,Clerk
MEAT DELI CLERK,6421,Clerk
DELI CLERK,6421,Clerk
OFFICE CLERK,1411,Clerk
program services clerk,1411,Clerk
CLERK CASHIER,6611,Clerk
CASHIER GROCERY CLERK,6611,Clerk
OFFICE CLERK,1411,Clerk
PAYROLL AND BENEFITS CLERK,1432,Clerk
"REGIONAL HEALTH ASSISTANT, CLERK",1243,Clerk
UNIT CLERK,1243,Clerk
FOUNDATION CLERK,6552,Clerk
CASHIER CLERK,6611,Clerk
OFFICE CLERK,1243,Clerk
OFFICE BILLING CLERK,1431,Clerk
CUSTOMER SERVICE CLERK,1451,Clerk
RETAIL CLERK,6421,Clerk
RETAIL CLERK IN A RUNNING STORE,6421,Clerk
FINANCE CLERK,1431,Clerk
CLERK,1243,Clerk
OFFICE CLERK,1243,Clerk
RETAIL CLERK,6421,Clerk
RETAIL CLERK,6421,Clerk
RETAIL CLERK,6421,Clerk
"DATA ENTRY CLERK, PROJECT COORDINATOR",1422,Clerk
OFFICE CLERK (TEAM LEAD) ACCOUNTS PAYABLE,1431,Clerk
ACCOUNTING CLERK IV,1431,Clerk
OFFICE CLERK,1411,Clerk
FULL-TIME EMERGENCY UNIT CLERK,1243,Clerk
ACCOUNTING CLERK,1431,Clerk
SENIOR ACCOUNTING CLERK,1431,Clerk
ACCOUNTING CLERK,1431,Clerk
DETACHMENT CLERK,1525,Clerk
UNIT CLERK,1243,Clerk
UNIT CLERK,1243,Clerk
UNIT CLERK,1243,Clerk
GROCERY STORE CLERK,6421,Clerk
STORE CLERK,6421,Clerk
ACCOUNTS RECEIVABLE CLERK,1431,Clerk
ACCOUNTING CLERK,1431,Clerk
CLERK,6421,Clerk
CUSTOMER SERVICES SUPPORT CLERK,6552,Clerk
OFFICE CLERK,1411,Clerk
assistant and file clerk,1411,Clerk
OFFICE CLERK,1243,Clerk
"CLERK, BOOKKEEPER",1311,Clerk
RETAIL CLERK,6421,Clerk
POSTAL CLERK,1511,Clerk
POSTAL CLERK,1511,Clerk
SENIOR CLERK,1416,Clerk
DEPUTY CLERK,1416,Clerk
DEPUTY CLERK,1416,Clerk
GROCERY CLERK,6421,Clerk
DATA ENTRY CLERK,1422,Clerk
INFORMATICS - POLICE CLERK,1525,Clerk
DETACHMENT CLERK,1525,Clerk
CLERK,1243,Clerk
"TAX CLERK, FINANCIAL ASSISTANT",1431,Clerk
MAIL CLERK,1511,Clerk
TRIAGE CLERK,1243,Clerk
DATA ENTRY CLERK,1422,Clerk
DATA ENTRY CLERK,1422,Clerk
OFFICE CLERK,1411,Clerk
OFFICE CLERK,1411,Clerk
